pond_id,AGRY,AMAC,AMAB,AMEA,AOPA,ATAL,BTER,BQUE,GCAR,HCHR,HCIN,HFEM,HSQU,NVIR,PCRU,PNIG,POCU,PORN,PVAR,RCAT,RCLA,RSPH,RVIR,SHOL,SINR
63,,,,,,,,,,,,,,,3,,,,,,,,,,
67,,,,,,,,,,,,,,,3,,3,,,,,,,,
103,3,,,,,,3,,,,,1,,,,,,,,2,1,2,2,,
104,,,,,,,,,1,,,,,,,,2,,,,,,,,
105,,,,,,,,,2,1,,3,,,,,2,,,,,2,,,
112,,,,,,,,,,,,,,,,1,4,,,,,,1,,
164,,,,,,,,,,,,,,,3,1,1,,,,,2,,,
175,3,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,1,2,,,,,,,,
180,,,,,,,,,,,,,,,,,1,1,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,1,,,2,1,,,,,,,,
202,,,,,,,,,,,,,,,1,3,2,,,,,,,,
213,,,,,,,,,3,3,3,,3,,1,,3,,,,,1,,,
215,,,,,,,,,4,1,1,1,,,,,3,,,,,,,,
